time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.035443,-0.0297,-0.0066,-0.0001,0.030
1.040385,-0.0055,-0.0114,0.0141,0.019
1.044912,0.0039,-0.0018,0.0045,0.006
1.049963,0.0183,-0.0160,-0.0145,0.028
1.055640,0.0038,-0.0158,-0.0144,0.022
1.059974,-0.0010,-0.0063,-0.0048,0.008
1.064778,0.0085,-0.0158,0.0143,0.023
1.069864,0.0085,0.0033,-0.0048,0.010
1.075294,-0.0011,0.0081,-0.0001,0.008
1.080266,-0.0011,0.0176,-0.0143,0.023
1.086084,0.0038,0.0127,0.0143,0.019
1.090870,0.0086,0.0030,0.0142,0.017
1.095259,-0.0104,0.0125,-0.0287,0.033
1.108295,-0.0008,0.0029,0.0096,0.010
1.108774,-0.0150,0.0075,0.0047,0.017
1.110098,-0.0054,0.0169,-0.0001,0.018
1.114876,-0.0291,0.0073,0.0237,0.038
1.120038,0.0045,0.0024,-0.0050,0.007
1.125066,-0.0099,0.0120,0.0330,0.036
1.130242,0.0043,-0.0072,0.0185,0.020
1.134852,-0.0003,-0.0071,0.0089,0.011
1.140025,-0.0193,-0.0213,-0.0055,0.029
1.144623,-0.0002,-0.0117,-0.0197,0.023
1.149921,-0.0003,0.0026,0.0137,0.014
1.155175,0.0140,0.0074,0.0041,0.016
1.160012,0.0283,0.0025,-0.0054,0.029
1.164894,0.0186,0.0072,-0.0054,0.021
1.169963,0.0041,0.0072,-0.0053,0.010
1.174652,-0.0244,0.0024,-0.0290,0.038
1.180040,-0.0005,-0.0119,0.0045,0.013
1.185028,-0.0146,-0.0118,-0.0003,0.019
1.191009,0.0045,0.0168,-0.0051,0.018
1.194995,0.0044,0.0071,0.0187,0.021
1.218385,-0.0146,0.0023,0.0091,0.017
1.218924,-0.0003,0.0214,-0.0147,0.026
1.219143,0.0188,0.0070,-0.0051,0.021
1.219394,-0.0051,0.0164,0.0092,0.019
1.219799,-0.0193,0.0115,-0.0242,0.033
1.224763,-0.0049,0.0020,-0.0002,0.005
1.229770,0.0141,0.0115,0.0283,0.034
1.234781,0.0045,0.0019,0.0233,0.024
1.239977,0.0234,0.0161,-0.0101,0.030
1.244471,0.0137,0.0065,-0.0053,0.016
1.249726,-0.0101,0.0160,-0.0005,0.019
1.254866,-0.0194,-0.0032,-0.0053,0.020
1.259691,-0.0003,-0.0080,-0.0289,0.030
1.264962,-0.0192,0.0158,-0.0097,0.027
1.269602,0.0190,-0.0129,0.0094,0.025
1.274764,0.0046,0.0064,-0.0097,0.012
1.279637,-0.0191,0.0015,0.0331,0.038
1.284699,-0.0141,-0.0128,-0.0147,0.024
1.291419,-0.0141,0.0110,-0.0193,0.026
1.294765,0.0239,-0.0223,-0.0096,0.034
1.311794,0.0143,-0.0079,-0.0095,0.019
1.312283,0.0189,0.0207,0.0143,0.031
1.312460,0.0092,-0.0081,-0.0048,0.013
1.314776,0.0044,0.0251,-0.0095,0.027
1.319586,0.0091,-0.0083,0.0000,0.012
1.324718,-0.0052,-0.0035,-0.0142,0.016
1.329798,-0.0100,0.0013,0.0144,0.018
1.334891,-0.0195,0.0013,-0.0047,0.020
1.339987,-0.0051,0.0060,-0.0094,0.012
1.344522,-0.0051,-0.0131,-0.0046,0.015
1.349500,-0.0004,-0.0130,0.0144,0.019
1.354721,-0.0003,0.0061,0.0048,0.008
1.360070,-0.0004,0.0296,0.0048,0.030
1.364886,-0.0051,-0.0134,-0.0237,0.028
1.369917,0.0043,-0.0086,-0.0378,0.039
1.374571,0.0139,0.0010,0.0100,0.017
1.379539,-0.0289,-0.0039,0.0052,0.030
1.384538,0.0045,0.0152,-0.0186,0.024
1.391823,0.0141,-0.0182,-0.0042,0.023
1.395721,0.0093,-0.0038,0.0006,0.010
1.416143,-0.0146,-0.0083,-0.0089,0.019
1.416692,0.0093,-0.0273,0.0339,0.045
1.416908,0.0045,0.0205,-0.0044,0.021
1.417126,0.0141,0.0013,0.0099,0.017
1.419434,0.0139,0.0060,-0.0044,0.016
1.424164,-0.0053,-0.0273,0.0004,0.028
1.429349,0.0091,0.0061,-0.0044,0.012
1.434612,-0.0148,-0.0129,0.0004,0.020
1.440213,0.0043,-0.0033,0.0004,0.005
1.444486,0.0042,-0.0126,0.0194,0.024
1.449406,0.0185,-0.0078,-0.0045,0.021
1.454207,-0.0005,-0.0028,-0.0092,0.010
1.459556,0.0232,-0.0169,-0.0044,0.029
1.464391,-0.0009,-0.0073,0.0051,0.009
1.469202,0.0038,-0.0119,0.0051,0.013
1.474280,-0.0011,-0.0120,0.0050,0.013
1.479140,0.0084,-0.0024,0.0050,0.010
1.484499,0.0084,-0.0024,0.0097,0.013
1.489327,-0.0060,0.0071,-0.0189,0.021
1.494842,-0.0155,-0.0166,-0.0187,0.029
1.513673,-0.0249,-0.0355,-0.0043,0.044
1.514271,0.0038,-0.0068,-0.0043,0.009
1.514515,0.0086,-0.0068,-0.0232,0.026
1.514718,-0.0105,-0.0020,0.0007,0.011
1.519154,-0.0008,-0.0115,0.0197,0.023
1.524256,-0.0294,-0.0019,0.0148,0.033
1.529139,-0.0291,-0.0067,0.0147,0.033
1.534491,0.0044,0.0028,0.0003,0.005
1.539249,-0.0004,0.0075,-0.0140,0.016
1.544025,-0.0052,-0.0068,0.0004,0.009
1.549066,-0.0146,0.0170,-0.0186,0.029
1.554355,-0.0003,0.0121,0.0100,0.016
1.559390,0.0282,0.0073,-0.0043,0.029
1.563962,0.0233,0.0025,0.0005,0.023
1.569732,0.0091,-0.0022,-0.0185,0.021
1.574138,0.0137,-0.0069,0.0007,0.015
1.579265,-0.0007,0.0170,0.0101,0.020
1.584412,-0.0008,0.0073,-0.0089,0.012
1.589608,0.0088,0.0072,0.0006,0.011
1.595480,0.0088,0.0215,-0.0184,0.030
1.608515,0.0041,-0.0072,-0.0135,0.016
1.609000,-0.0102,-0.0070,0.0009,0.012
1.609172,0.0041,0.0073,-0.0134,0.016
1.613910,-0.0242,-0.0023,-0.0085,0.026
1.618993,0.0093,0.0025,-0.0179,0.020
1.623853,-0.0144,-0.0259,-0.0225,0.037
1.628904,-0.0049,-0.0115,-0.0128,0.018
1.634198,0.0094,-0.0115,-0.0080,0.017
1.638907,0.0047,0.0075,-0.0079,0.012
1.644074,0.0142,0.0123,-0.0031,0.019
1.649030,-0.0098,0.0075,0.0064,0.014
1.654680,0.0330,0.0074,0.0159,0.037
1.659311,0.0041,-0.0021,-0.0033,0.006
1.664251,0.0041,-0.0022,-0.0032,0.006
1.668940,-0.0007,0.0311,0.0063,0.032
1.674122,0.0040,-0.0120,0.0062,0.014
1.678972,-0.0150,0.0167,-0.0223,0.032
1.683962,-0.0196,-0.0071,-0.0221,0.030
1.688739,-0.0052,0.0024,0.0018,0.006
1.693914,-0.0147,-0.0023,-0.0030,0.015
1.717728,0.0042,-0.0308,0.0018,0.031
1.718490,-0.0053,0.0027,0.0255,0.026
1.718833,-0.0195,0.0026,0.0063,0.021
1.719175,-0.0003,-0.0116,0.0063,0.013
1.719647,-0.0192,0.0123,-0.0033,0.023
1.724901,0.0141,0.0026,-0.0175,0.023
1.728777,-0.0002,0.0026,0.0017,0.003
1.733694,-0.0001,-0.0022,-0.0221,0.022
1.738904,-0.0144,-0.0164,0.0208,0.030
1.743710,-0.0285,-0.0257,-0.0126,0.040
1.749110,0.0050,-0.0065,0.0018,0.008
1.753748,0.0004,-0.0016,-0.0030,0.003
1.758790,-0.0139,-0.0158,-0.0125,0.024
1.763721,-0.0185,0.0033,-0.0076,0.020
1.768550,0.0054,-0.0111,-0.0218,0.025
1.774256,0.0006,0.0032,-0.0311,0.031
1.778956,0.0101,-0.0111,-0.0119,0.019
1.784173,0.0052,0.0080,0.0072,0.012
1.788728,0.0006,-0.0159,-0.0071,0.017
1.793839,-0.0184,-0.0207,0.0120,0.030
1.818786,-0.0135,0.0032,-0.0024,0.014
1.819308,0.0293,-0.0062,-0.0023,0.030
1.819543,0.0053,-0.0157,-0.0071,0.018
1.819723,-0.0089,0.0129,-0.0260,0.030
1.819888,0.0148,-0.0157,0.0169,0.027
1.823711,-0.0185,0.0034,-0.0117,0.022
1.828747,0.0197,0.0080,-0.0163,0.027
1.834587,-0.0044,0.0269,-0.0067,0.028
1.839857,0.0147,-0.0018,0.0076,0.017
1.844275,-0.0045,0.0077,0.0075,0.012
1.849698,0.0192,0.0029,0.0075,0.021
1.853876,0.0048,-0.0114,0.0074,0.014
1.858664,0.0048,-0.0160,-0.0022,0.017
1.863913,0.0094,-0.0015,0.0026,0.010
1.868520,-0.0049,0.0032,-0.0164,0.017
1.873831,-0.0191,0.0078,-0.0020,0.021
1.878875,-0.0094,-0.0207,-0.0068,0.024
1.883955,0.0096,0.0175,-0.0067,0.021
1.888350,0.0001,-0.0017,-0.0066,0.007
1.894021,-0.0047,-0.0159,0.0077,0.018
1.914827,0.0285,0.0127,-0.0209,0.038
1.915505,-0.0239,-0.0112,-0.0207,0.034
1.915727,-0.0189,0.0079,-0.0015,0.021
1.915939,-0.0187,0.0079,-0.0205,0.029
1.918623,0.0004,-0.0206,-0.0061,0.022
1.923700,-0.0043,-0.0251,-0.0061,0.026
1.928694,-0.0043,-0.0013,-0.0060,0.007
1.933639,0.0053,-0.0061,-0.0012,0.008
1.938487,0.0053,0.0034,-0.0012,0.006
1.943585,-0.0186,-0.0013,-0.0107,0.021
1.948472,0.0101,-0.0156,-0.0011,0.019
1.953426,0.0196,-0.0013,-0.0201,0.028
1.959098,-0.0090,-0.0013,0.0038,0.010
1.963463,0.0006,-0.0107,0.0133,0.017
1.968644,-0.0042,-0.0107,-0.0058,0.013
1.973475,-0.0042,0.0179,0.0037,0.019
1.978751,0.0147,-0.0060,-0.0105,0.019
1.983649,0.0050,0.0035,-0.0295,0.030
1.988558,0.0142,0.0178,0.0088,0.024
1.993718,0.0047,-0.0061,0.0040,0.009
1.998391,-0.0142,-0.0108,0.0039,0.018
2.003473,-0.0046,0.0177,0.0039,0.019
2.028415,-0.0094,-0.0110,-0.0246,0.029
2.028931,0.0049,0.0176,0.0183,0.026
2.029121,0.0286,-0.0205,0.0087,0.036
2.029296,-0.0050,0.0082,-0.0009,0.010
2.029463,0.0044,0.0081,-0.0056,0.011
2.033380,0.0090,0.0033,-0.0009,0.010
2.038641,0.0136,0.0175,0.0229,0.032
2.043478,0.0040,0.0079,0.0037,0.010
2.048523,0.0087,-0.0208,0.0037,0.023
2.053459,-0.0009,0.0126,-0.0153,0.020
2.058735,0.0037,0.0123,0.0038,0.013
2.063751,-0.0153,-0.0020,-0.0057,0.016
2.068719,-0.0151,-0.0067,-0.0104,0.020
